year,dept_code,macrosector,value
2005,76,SERVICIOS,8824.2
2005,97,SERVICIOS,28.26
2005,99,SERVICIOS,38.42
2005,91,SERVICIOS,2.23
2005,05,SERVICIOS,1780.47
2005,81,SERVICIOS,15.83
2005,08,SERVICIOS,511.36
2005,11,SERVICIOS,5364.46
2005,13,SERVICIOS,293.86
2005,15,SERVICIOS,198.05
2005,17,SERVICIOS,281.67
2005,18,SERVICIOS,30.86
2005,85,SERVICIOS,40.06
2005,19,SERVICIOS,83.27
2005,20,SERVICIOS,105.58
2005,27,SERVICIOS,14.93
2005,23,SERVICIOS,202.3
2005,25,SERVICIOS,573.77
2005,94,SERVICIOS,0.22
2005,95,SERVICIOS,3.09
2005,41,SERVICIOS,160.6
2005,44,SERVICIOS,25.05
2005,47,SERVICIOS,123.9
2005,50,SERVICIOS,139.2
2005,52,SERVICIOS,117.43
2005,54,SERVICIOS,123.19
2005,86,SERVICIOS,6.09
2005,63,SERVICIOS,98.11
2005,66,SERVICIOS,253.4
2005,88,SERVICIOS,9.31
2005,68,SERVICIOS,694.58
2005,70,SERVICIOS,74.43
2005,73,SERVICIOS,256.34
2005,76,SERVICIOS,1224.02
2005,97,SERVICIOS,0.08
2005,99,SERVICIOS,2.21
2005,91,SERVICIOS,4.94
2005,05,SERVICIOS,2481.2
2005,81,SERVICIOS,29.98
2005,08,SERVICIOS,663.27
2005,11,SERVICIOS,7164.86
2005,13,SERVICIOS,279.47
2005,15,SERVICIOS,199.43
2005,17,SERVICIOS,199.18
2005,18,SERVICIOS,40.16
2005,85,SERVICIOS,74.32
2005,19,SERVICIOS,103.98
2005,20,SERVICIOS,110.1
2005,27,SERVICIOS,29.64
2005,23,SERVICIOS,130.77
2005,25,SERVICIOS,260.3
2005,94,SERVICIOS,1.95
2005,95,SERVICIOS,6.65
2005,41,SERVICIOS,164.16
2005,44,SERVICIOS,54.23
2005,47,SERVICIOS,117.3
2005,50,SERVICIOS,156.3
2005,52,SERVICIOS,158.46
2005,54,SERVICIOS,181.78
2005,86,SERVICIOS,27.77
2005,63,SERVICIOS,98.88
2005,66,SERVICIOS,217.75
2005,88,SERVICIOS,14.95
2005,68,SERVICIOS,530.14
2005,70,SERVICIOS,64.13
2005,73,SERVICIOS,221.7
2005,76,SERVICIOS,1459.73
2005,97,SERVICIOS,0.87
2005,99,SERVICIOS,6.33
2005,91,SERVICIOS,12.97
2005,05,SERVICIOS,7236.95
2005,81,SERVICIOS,103.21
2005,08,SERVICIOS,1918.99
2005,11,SERVICIOS,19553.12
2005,13,SERVICIOS,1408.21
2005,15,SERVICIOS,838.75
2005,17,SERVICIOS,634.09
2005,18,SERVICIOS,168.72
2005,85,SERVICIOS,230.62
2005,19,SERVICIOS,483.86
2005,20,SERVICIOS,533.05
2005,27,SERVICIOS,49.82
2005,23,SERVICIOS,349.49
