nit,razon_social,macrosector_calc,region_calc,ingresos,ganancias,Prediccion_Margen,Ganancia_Proyectada_Mils
900408664,PLASTIRED SAS,MANUFACTURA,Andina,2,0.0,0.0005989958249663349,0.0011979916499326698
900249143,PUERTA DE ORO EMPRESA DE DESARROLLO CARIBE SAS,PROFESIONAL,Caribe,4,0.0,0.04100278585040068,0.16401114340160272
900114108,PAPELES REGIONALES SAS,MANUFACTURA,Andina,2,0.0,0.0005989958249663349,0.0011979916499326698
900073741,BELLAVISTA COAL SAS,MINERO,Andina,2,0.0,0.014500721810708259,0.029001443621416517
830510942,FARMACIAS EN RED S.A.S,COMERCIO,Caribe,2,0.0,0.0002806900773449824,0.0005613801546899648
900365560,SUANFARMA COLOMBIA SAS,COMERCIO,Andina,2,0.0,0.0002806900773449824,0.0005613801546899648
890323052,INDUSTRIA COLOMBIANA DE PAPELES INCOLPA SAS,MANUFACTURA,Pacifico,2,0.0,0.0005989958249663349,0.0011979916499326698
900112953,LIDER EXPORT SAS,COMERCIO,Andina,2,0.0,0.01391988115344079,0.02783976230688158
891902138,CASA GRAJALES S.A.,MANUFACTURA,Pacifico,2,0.0,0.0005989958249663349,0.0011979916499326698
900203601,IDESTRA SA EN REORGANIZACION,CONSTRUCCION,Andina,2,0.0,0.0005989958249663349,0.0011979916499326698
900069455,COMERCIALIZADORA INTERNACIONAL ALIADA SAS,MANUFACTURA,Andina,2,0.0,0.0005989958249663349,0.0011979916499326698
900220311,SERVICIOS DE DIAGNOSTICO MEDICO S.A.,SALUD,Pacifico,2,0.0,0.015191310553800068,0.030382621107600136
900248826,CONSTRUCCION DE TODO TIPO DE EDIFICIOS COMERCIALES,CONSTRUCCION,Andina,4,0.39634146341463417,0.12397100862459944,0.49588403449839774
890325787,SILQUIN LTDA,MANUFACTURA,Pacifico,2,0.0,0.014500721810708259,0.029001443621416517
900365931,VITRACOAT COLOMBIA  SAS,MANUFACTURA,Andina,2,0.0,0.0005989958249663349,0.0011979916499326698
900248497,FL CORREA SAS,INMOBILIARIO,Andina,2,0.39634146341463417,0.17409018223207454,0.3481803644641491
900202174,SUR COMPANY S.A.S.,COMERCIO,Andina,2,0.0,0.0002806900773449824,0.0005613801546899648
900364145,JORGE A PABON G SAS,COMERCIO,Andina,2,0.0,0.0002806900773449824,0.0005613801546899648
890324692,QUIMEX INDUSTRIALES SAS,COMERCIO,Pacifico,2,0.0,0.0002806900773449824,0.0005613801546899648
900073081,SERVICLINICOS DROMEDICA S.A.,SALUD,Andina,2,0.0,0.0012895845680581434,0.0025791691361162867
900416644,ARRIGUI & ASOCIADOS ABOGADOS CONSULTORES SAS,PROFESIONAL,Andina,2,0.39634146341463417,0.0686395373768611,0.1372790747537222
890207947,LA CACICA LIMITADA,AGROPECUARIO,Andina,2,0.7926829268292683,0.04163698074321939,0.08327396148643879
830509497,MEDICINA INTEGRAL I.P.S. S.A.,SALUD,Caribe,11,0.7926829268292683,0.06159501540386075,0.6775451694424683
900115715,MOCARE SAS,COMERCIO,Caribe,2,0.0,0.01391988115344079,0.02783976230688158
891855573,EMPRESA DE FSFATOS DE BOYACA SA,MANUFACTURA,Andina,2,0.0,0.0005989958249663349,0.0011979916499326698
860024877,COMPANIA MINERA EL TRIUNFO SAS,MINERO,Andina,2,0.0,0.014500721810708259,0.029001443621416517
900249782,WORLD PARTS INTERNATIONAL SAS,COMERCIO,Andina,2,0.0,0.01391988115344079,0.02783976230688158
860024446,JABONES EL TIGRE Y ROCA SA,MANUFACTURA,Andina,4,0.0,0.0011297917026411271,0.0045191668105645086
900411468,CONSTRUCCIONES MPS SAS,CONSTRUCCION,Andina,4,0.39634146341463417,0.02819719747418877,0.11278878989675507
900371677,QBO CONSTRUCTORES SAS,INMOBILIARIO,Andina,2,0.0,0.17409018223207454,0.3481803644641491
830512556,POWER OIL LUBRICANTES SAS,MANUFACTURA,Caribe,5,0.0,0.0011297917026411271,0.005648958513205636
900075936,INGENIERIA HYMC SAS,CONSTRUCCION,Orinoquia,2,0.0,0.014500721810708259,0.029001443621416517
890321567,CARVAJAL S.A.,FINANCIERO,Pacifico,34,10.701219512195122,0.14040212313776165,4.773672186683896
860014285,CONSULTORES TECNICOS Y ECONOMICOS SAS,PROFESIONAL,Andina,2,0.0,0.002828282617209056,0.005656565234418112
900067477,ACEROS FORMADOS S.A.S,MANUFACTURA,Andina,2,0.0,0.0005989958249663349,0.0011979916499326698
900076133,NEMA INGENIERIA SAS,CONSTRUCCION,Andina,2,0.0,0.0005989958249663349,0.0011979916499326698
900204897,ASESORIA INNOVACION Y SOLUCIONES DE COLOMBIA AIS S.A.S.,MANUFACTURA,Andina,4,0.7926829268292683,0.12397100862459944,0.49588403449839774
900110385,PLANTACIONES UNIDAS SAS,MANUFACTURA,Andina,2,0.39634146341463417,0.014500721810708259,0.029001443621416517
890321052,DISTRIBUIDORA EXTRA SAS,COMERCIO,Pacifico,2,0.0,0.0002806900773449824,0.0005613801546899648
900205225,COLDEACEROS SA,COMERCIO,Pacifico,2,0.0,0.0002806900773449824,0.0005613801546899648
892301158,GUTIERREZ DANGOND MARAUTOS S.A.S.,COMERCIO,Caribe,3,0.0,0.02304148212028293,0.0691244463608488
900204854,OMICRON DEL LLANO S.A.S.,CONSTRUCCION,Orinoquia,3,0.0,0.01007046954783287,0.03021140864349861
900411374,TURMALINA SAS,INMOBILIARIO,Andina,2,0.39634146341463417,0.17409018223207454,0.3481803644641491
890705577,SUPERMOTOS DEL HUILA SAS,COMERCIO,Andina,2,0.0,0.0002806900773449824,0.0005613801546899648
900371103,DISTRIBUCIONES PQ S.A.S,COMERCIO,Andina,2,0.0,0.01391988115344079,0.02783976230688158
900368657,CONSTRUCTORA RESERVA DE LA SIERRA SAS,CONSTRUCCION,Andina,4,0.0,0.02819719747418877,0.11278878989675507
830511769,SERVICIOS INTEGRALES DE TECNOLOGIA PARA REDES DE COMUNICACIONES INTELRED SAS,TIC,Andina,5,1.5853658536585367,0.28937788234969974,1.4468894117484987
900369342,IINGNOVARQ S.A.S,CONSTRUCCION,Andina,2,0.0,0.014500721810708259,0.029001443621416517
900112253,SU MOTO DEL MAGDLENA SAS,COMERCIO,Andina,2,0.0,0.0002806900773449824,0.0005613801546899648
900247608,INVERSIONES SANCHEZ GEORGE & CIA. S.C.A,INMOBILIARIO,Caribe,3,0.7926829268292683,0.1886968561950999,0.5660905685852997
900413539,COLTIAGO SAS,INMOBILIARIO,Pacifico,2,0.0,0.01717467006989868,0.03434934013979736
890800234,EDITORIAL LA PATRIA S.A.,MANUFACTURA,Andina,2,0.0,0.0005989958249663349,0.0011979916499326698
900068981,ITS ENERGY SERVICES SUCURSAL COLOMBIA,MINERO,Andina,3,0.0,0.0010811313907591478,0.0032433941722774433
900204182,ARAUCO COLOMBIA SA,COMERCIO,Andina,2,0.0,-0.00800373711345844,-0.01600747422691688
900112215,TECNIDECOR SAS,MANUFACTURA,Andina,2,0.0,0.0005989958249663349,0.0011979916499326698
890212357,PROMOCION E INVERSION EN PALMA S.A.,AGROPECUARIO,Andina,3,0.7926829268292683,0.05914072705699886,0.1774221811709966
830512209,SAID WAKED E HIJOS S EN C,COMERCIO,Insular,2,0.0,0.0002806900773449824,0.0005613801546899648
900204498,ARRENDAMIENTO DE EQUIPOS Y CONSTRUCCIONES S.A.S,CONSTRUCCION,Pacifico,3,0.0,0.026626007069356923,0.07987802120807078
900068321,EDUPAR SAS,COMERCIO,Pacifico,2,0.0,0.0002806900773449824,0.0005613801546899648
892115347,ESE HOSPITAL DE NAZARETH,SALUD,Caribe,2,0.0,0.0012895845680581434,0.0025791691361162867
900245690,KROMO CONSTRUCTORES SAS,CONSTRUCCION,Pacifico,2,0.0,0.0005989958249663349,0.0011979916499326698
900369748,GREEN INVEST SAS,INMOBILIARIO,Andina,6,1.981707317073171,0.23746637993809988,1.4247982796285994
900369941,LABORATORIOS DOMECO S.A.S,MANUFACTURA,Andina,2,0.0,0.0005989958249663349,0.0011979916499326698
900246080,OBRAS CAPITAL SA,CONSTRUCCION,Andina,4,0.39634146341463417,0.12397100862459944,0.49588403449839774
900412189,NOVATECNICA SAS,MANUFACTURA,Andina,2,0.0,0.014500721810708259,0.029001443621416517
892115006,CCF DE LA GUAJIRA,SALUD,Caribe,31,-0.39634146341463417,0.004086118033134552,0.12666965902717112
860001317,PUBLICAR PUBLICIDAD MULTIEMDIA SAS,PROFESIONAL,Andina,2,-0.7926829268292683,-0.12194709695092129,-0.24389419390184258
900227389,CIENO GROUP SAS,PROFESIONAL,Andina,5,1.5853658536585367,0.1276851407095604,0.638425703547802
890405325,TEKIA SAS,AGROPECUARIO,Andina,2,0.7926829268292683,0.04163698074321939,0.08327396148643879
900227853,PEDRIPLASTICOS SAS,MANUFACTURA,Andina,2,0.0,0.014500721810708259,0.029001443621416517
900402331,MS TIMBERLAN HOLDINGS LIMITED,AGROPECUARIO,Andina,2,1.1890243902439024,0.04163698074321939,0.08327396148643879
860000999,RAMECO S.A.S.,COMERCIO,Andina,2,0.0,0.0002806900773449824,0.0005613801546899648
900047609,INVERSIONES TEAM SOL SAS,CONSTRUCCION,Andina,4,1.1890243902439024,0.1549679858273482,0.6198719433093928
860001130,INSTRUMENTACION SA,COMERCIO,Andina,2,0.0,0.0002806900773449824,0.0005613801546899648
900033271,PROMOTORA EQUILATERO SAS,INMOBILIARIO,Andina,2,0.0,0.0031107483252237047,0.0062214966504474094
890307530,C B BOLIVAR INMOBILIARIA S.A.,CONSTRUCCION,Andina,2,0.7926829268292683,0.17635568369481758,0.35271136738963516
900211721,CONSTRUCTORA Y COMERCIALIZADORA SAS BIC,CONSTRUCCION,Andina,3,0.39634146341463417,0.14089144737334702,0.42267434212004107
890480113,HOSPITAL REGIONAL NUESTRA SENORA DE LAS MERCEDES DE COROZAL E.S.E.,SALUD,Caribe,2,0.0,0.0012895845680581434,0.0025791691361162867
900051963,HARAS POTRERO CHI CO SA,INMOBILIARIO,Andina,18,6.341463414634147,0.23729175377671446,4.27125156798086
900027397,CLINICA HIGEA IPS S.A.,SALUD,Caribe,2,0.0,0.0012895845680581434,0.0025791691361162867
900027547,R+B DISENO EXPERIMENTAL SAS BIC,CONSTRUCCION,Andina,2,0.0,0.014500721810708259,0.029001443621416517
900391805,DISENOS ASOCIADOS SAS,CONSTRUCCION,Andina,2,0.39634146341463417,0.048619245611695706,0.09723849122339141
900026490,SUPERMERCADO MERCADIARIO LTDA,COMERCIO,Pacifico,2,0.0,0.0002806900773449824,0.0005613801546899648
900094992,MEGATECNOLOGIA Y REHABILITACION COLOMBIANA SAS,COMERCIO,Pacifico,2,0.0,0.0002806900773449824,0.0005613801546899648
832010927,COMUNICACION MOVIL SA,COMERCIO,Andina,2,0.0,0.0002806900773449824,0.0005613801546899648
900052405,OPRN MIND LTDA,PROFESIONAL,Andina,2,0.0,0.002828282617209056,0.005656565234418112
860001860,CRISTACRYL SAS,COMERCIO,Andina,2,0.0,0.0002806900773449824,0.0005613801546899648
900093635,SUPERMERCADOS LA 29 SAS,COMERCIO,Andina,2,0.0,0.0002806900773449824,0.0005613801546899648
900030249,ABAGO S.A.S. EN REORGANIZACION,MANUFACTURA,Andina,3,0.0,0.025828623515910695,0.07748587054773208
890306172,SANCHEZ GIRALDO Y CIA S EN C PROCASAN,INMOBILIARIO,Pacifico,5,0.7926829268292683,0.23746637993809988,1.1873318996904993
900029520,TEXSAL SAS,COMERCIO,Andina,2,0.0,0.0002806900773449824,0.0005613801546899648
860001771,SCHREDER COLOMBIA SAS,COMERCIO,Andina,2,-0.39634146341463417,-0.11495427559343079,-0.22990855118686157
900029464,SUPER A LTDA,COMERCIO,Pacifico,2,0.0,0.0002806900773449824,0.0005613801546899648
900028123,CONSTRUCTORA KOVOK SAS,CONSTRUCCION,Andina,5,0.0,0.0011297917026411271,0.005648958513205636
900028915,JUAN CARLOS ARBELAEZ ECHEVERRY SAS,SALUD,Andina,2,0.39634146341463417,0.08210339293014166,0.1642067858602833
900392554,CROSSWAY SAS,COMERCIO,Andina,2,0.0,0.0002806900773449824,0.0005613801546899648
900087104,SMART PACK SAS,MANUFACTURA,Andina,2,0.0,0.0005989958249663349,0.0011979916499326698
890310500,ACEROS COLOMBIA ACEROSCOL SAS,COMERCIO,Pacifico,3,0.0,0.0007628256431377948,0.0022884769294133846
900040297,P. MUNOZ E HIJOS Y CIA S.A.S,AGROPECUARIO,Andina,2,0.7926829268292683,0.04163698074321939,0.08327396148643879
890312374,INVERSIONES ALTOBELO SAS,SERVICIOS,Pacifico,3,0.7926829268292683,0.03364704429040673,0.10094113287122018
900038620,PRESH TECH SAS,MANUFACTURA,Andina,2,0.0,0.0005989958249663349,0.0011979916499326698
890309496,INVERSIONES EQUIPOS Y SERVICIOS S.A. - INESA S.A.,AGROPECUARIO,Pacifico,2,0.39634146341463417,0.09727701800536886,0.19455403601073773
900039686,ANDICOLOR S.A.,COMERCIO,Andina,2,0.0,0.0002806900773449824,0.0005613801546899648
900397331,BODEGAS ILUSION SAS,COMERCIO,Andina,2,0.0,0.01391988115344079,0.02783976230688158
890401958,INDUSTRIAS COLOMBIANAS MINERARIAS SAS INCOLMINE,MANUFACTURA,Andina,6,0.0,0.0011297917026411271,0.006778750215846762
900085852,CONSTRUGEN S.A.S.,CONSTRUCCION,Andina,2,0.0,0.0005989958249663349,0.0011979916499326698
900229147,"GRUPO MCM COLOMBIA S,A,S,",FINANCIERO,Andina,7,0.0,0.13036226547706584,0.9125358583394608
